Date,Commodity,Min_Price,Max_Price,Modal_Price,District,Market,Variety,Grade
31-Oct-13,Pomegranate,1000,4000,2250,pune,pune,,
15-Jul-15,Pomegranate,1000,6000,1000,pune,pune,,
08-Mar-20,Pomegranate,500,5000,3000,pune,pune,,
02-Mar-20,Pomegranate,500,3000,2000,pune,pune,,
30-Jan-18,Pomegranate,1000,10000,3000,pune,pune,,
03-Mar-20,Pomegranate,1000,4000,2500,pune,pune,,
05-Mar-20,Pomegranate,1500,5000,2500,pune,pune,,
09-Mar-20,Pomegranate,2000,5000,3100,pune,pune,,
14-Mar-25,Pomegranate,1000,15000,8500,pune,pune,,
06-Jan-25,Pomegranate,2500,15000,8000,pune,pune,,
01-Jan-25,Pomegranate,1000,18500,10500,pune,pune,,
15-Jan-25,Pomegranate,1000,16000,8500,pune,pune,,
01-Mar-20,Pomegranate,1000,4000,1500,pune,pune,,
27-Feb-20,Pomegranate,1000,5000,4000,pune,pune,,
24-Mar-20,Pomegranate,2500,7000,3000,pune,pune,,
13-Mar-25,Pomegranate,1500,15000,8700,pune,pune,,
30-Dec-24,Pomegranate,1000,15000,8200,pune,pune,,
16-Mar-20,Pomegranate,1000,3500,2000,pune,pune,,
24-Feb-20,Pomegranate,1500,4000,2500,pune,pune,,
26-Mar-25,Pomegranate,1500,15000,8200,pune,pune,,
10-Mar-25,Pomegranate,2000,16000,8700,pune,pune,,
17-Mar-25,Pomegranate,1000,15000,8500,pune,pune,,
17-Mar-20,Pomegranate,1000,3000,2000,pune,pune,,
19-Feb-20,Pomegranate,2000,3500,3300,pune,pune,,
14-Jan-25,Pomegranate,2000,15000,8500,pune,pune,,
23-Dec-24,Pomegranate,1500,18000,10000,pune,pune,,
16-Jan-25,Pomegranate,2500,16500,9000,pune,pune,,
20-Jan-25,Pomegranate,2000,16000,8200,pune,pune,,
26-Feb-25,Pomegranate,1000,15000,8500,pune,pune,,
26-Dec-24,Pomegranate,1500,15000,8000,pune,pune,,
23-Jan-25,Pomegranate,1000,15500,8500,pune,pune,,
28-Feb-20,Pomegranate,2000,5000,4000,pune,pune,,
04-Mar-25,Pomegranate,1000,15000,8500,pune,pune,,
10-Jan-25,Pomegranate,2000,15000,8000,pune,pune,,
07-Jan-25,Pomegranate,1500,15000,8500,pune,pune,,
26-Feb-20,Pomegranate,2500,5000,4000,pune,pune,,
24-Feb-25,Pomegranate,2000,15000,8700,pune,pune,,
28-Jan-25,Pomegranate,2000,16000,9000,pune,pune,,
17-Feb-25,Pomegranate,2500,15000,8500,pune,pune,,
07-Feb-25,Pomegranate,2500,15000,8700,pune,pune,,
12-Mar-25,Pomegranate,1000,15000,8700,pune,pune,,
12-Mar-20,Pomegranate,1000,3000,2000,pune,pune,,
14-Mar-23,Pomegranate,1500,17000,9000,pune,pune,,
03-Jan-25,Pomegranate,2500,15000,8200,pune,pune,,
06-Mar-20,Pomegranate,2000,15000,10000,pune,pune,,
31-Dec-24,Pomegranate,1500,15000,8500,pune,pune,,
22-Jan-25,Pomegranate,1500,15500,8500,pune,pune,,
02-Jan-25,Pomegranate,2000,15000,8200,pune,pune,,
18-Feb-25,Pomegranate,1500,15000,8500,pune,pune,,
07-Mar-25,Pomegranate,1000,15000,8200,pune,pune,,
15-Mar-23,Pomegranate,2500,17000,9000,pune,pune,,
06-Mar-25,Pomegranate,2000,15000,8700,pune,pune,,
20-Mar-25,Pomegranate,500,10000,7000,pune,pune,,
17-Feb-20,Pomegranate,2500,3000,2000,pune,pune,,
11-Mar-25,Pomegranate,2500,15000,8700,pune,pune,,
28-Feb-25,Pomegranate,1500,13000,7700,pune,pune,,
05-Mar-25,Pomegranate,2500,15000,8200,pune,pune,,
19-Mar-25,Pomegranate,1000,15000,8700,pune,pune,,
25-Feb-20,Pomegranate,1500,5000,3000,pune,pune,,
21-Jan-25,Pomegranate,1000,16500,9000,pune,pune,,
08-Jan-25,Pomegranate,2500,12000,6500,pune,pune,,
19-Mar-20,Pomegranate,2500,15000,6000,pune,pune,,
27-Feb-25,Pomegranate,2500,15000,8700,pune,pune,,
24-Dec-24,Pomegranate,1000,17000,9700,pune,pune,,
03-Mar-25,Pomegranate,3000,15000,8000,pune,pune,,
05-Feb-25,Pomegranate,1500,15000,9000,pune,pune,,
27-Jan-25,Pomegranate,2500,15500,8500,pune,pune,,
18-Mar-20,Pomegranate,1000,15000,7000,pune,pune,,
11-Mar-20,Pomegranate,2000,5000,2500,pune,pune,,
29-Jan-25,Pomegranate,2500,16000,9000,pune,pune,,
19-Feb-25,Pomegranate,2500,15000,8700,pune,pune,,
20-Dec-24,Pomegranate,1500,15000,8700,pune,pune,,
25-Feb-25,Pomegranate,2500,15000,8500,pune,pune,,
09-Feb-25,Pomegranate,2000,15000,8700,pune,pune,,
14-Feb-25,Pomegranate,1500,15000,8500,pune,pune,,
20-Feb-25,Pomegranate,1500,15000,8200,pune,pune,,
25-Dec-24,Pomegranate,1500,16000,8700,pune,pune,,
09-Jan-25,Pomegranate,2500,13000,7200,pune,pune,,
16-Feb-20,Pomegranate,2500,12000,7000,pune,pune,,
21-Feb-20,Pomegranate,2500,17000,10000,pune,pune,,
24-Mar-25,Pomegranate,2500,15000,8700,pune,pune,,
21-Feb-25,Pomegranate,2000,15000,8700,pune,pune,,
16-Dec-24,Pomegranate,2000,18000,10000,pune,pune,,
22-Dec-24,Pomegranate,2000,18000,10000,pune,pune,,
20-Feb-20,Pomegranate,1500,15000,12500,pune,pune,,
23-Mar-25,Pomegranate,2000,15000,8200,pune,pune,,
05-Jan-25,Pomegranate,1500,18000,10000,pune,pune,,
18-Mar-25,Pomegranate,2000,15000,8200,pune,pune,,
31-Jan-25,Pomegranate,3000,14000,8000,pune,pune,,
27-Dec-24,Pomegranate,500,16000,9500,pune,pune,,
22-Jul-15,Pomegranate,2500,4000,2500,pune,pune,,
13-Mar-20,Pomegranate,3000,9000,4000,pune,pune,,
21-Mar-25,Pomegranate,1000,15000,9000,pune,pune,,
10-Dec-24,Pomegranate,2500,16000,8500,pune,pune,,
29-Dec-24,Pomegranate,2000,15000,8700,pune,pune,,
18-Dec-24,Pomegranate,1000,16000,9000,pune,pune,,
24-Apr-24,Pomegranate,2500,12000,6500,pune,pune,,
19-Dec-24,Pomegranate,2500,16000,9200,pune,pune,,
23-Feb-20,Pomegranate,1500,15000,8000,pune,pune,,
17-Jan-25,Pomegranate,2500,15000,8200,pune,pune,,
15-Apr-24,Pomegranate,2500,15000,8200,pune,pune,,
04-Feb-25,Pomegranate,2500,15000,8700,pune,pune,,
16-Feb-25,Pomegranate,1000,15000,8700,pune,pune,,
09-Dec-24,Pomegranate,2500,16000,8500,pune,pune,,
25-Mar-25,Pomegranate,1500,15000,8700,pune,pune,,
24-Jan-25,Pomegranate,1000,15500,8500,pune,pune,,
19-Apr-24,Pomegranate,2000,12000,6500,pune,pune,,
30-Jan-25,Pomegranate,1000,15000,8500,pune,pune,,
22-Apr-24,Pomegranate,2500,15000,8000,pune,pune,,
23-Feb-25,Pomegranate,1500,15000,8700,pune,pune,,
09-Mar-25,Pomegranate,1500,15000,8200,pune,pune,,
06-Feb-25,Pomegranate,2000,15000,8200,pune,pune,,
18-Feb-20,Pomegranate,1500,15000,9000,pune,pune,,
19-Jan-25,Pomegranate,2500,15000,8200,pune,pune,,
11-Dec-24,Pomegranate,2000,20000,11200,pune,pune,,
03-Feb-25,Pomegranate,1500,15000,8500,pune,pune,,
12-Dec-24,Pomegranate,1000,16000,8700,pune,pune,,
12-Jan-25,Pomegranate,1500,15000,8000,pune,pune,,
15-Dec-24,Pomegranate,2000,16000,8700,pune,pune,,
13-Dec-24,Pomegranate,500,17000,9500,pune,pune,,
28-Jul-15,Pomegranate,1500,5000,2000,pune,pune,,
02-Mar-25,Pomegranate,2000,15000,8200,pune,pune,,
16-Mar-25,Pomegranate,1000,15000,8500,pune,pune,,
08-Dec-24,Pomegranate,1000,15000,8000,pune,pune,,
03-Dec-24,Pomegranate,1000,17000,9000,pune,pune,,
02-Dec-24,Pomegranate,1000,16000,8500,pune,pune,,
06-Dec-24,Pomegranate,1000,16000,8500,pune,pune,,
10-Oct-24,Pomegranate,1500,15000,8000,pune,pune,,
04-Dec-24,Pomegranate,1000,15000,8200,pune,pune,,
09-Oct-24,Pomegranate,1500,12000,6500,pune,pune,,
16-Sep-24,Pomegranate,1500,15000,8200,pune,pune,,
21-Nov-24,Pomegranate,1000,15000,8200,pune,pune,,
05-Dec-24,Pomegranate,1000,14000,7500,pune,pune,,
11-Oct-24,Pomegranate,2000,15000,8000,pune,pune,,
22-Nov-24,Pomegranate,1000,14000,8000,pune,pune,,
21-Jul-20,Pomegranate,1500,12000,6000,pune,pune,,
25-Oct-24,Pomegranate,1000,12500,7000,pune,pune,,
24-Oct-24,Pomegranate,1000,13000,7000,pune,pune,,
03-Nov-24,Pomegranate,1000,15000,8000,pune,pune,,
21-Apr-24,Pomegranate,1000,12000,6500,pune,pune,,
28-Nov-24,Pomegranate,1000,15000,8000,pune,pune,,
12-Sep-24,Pomegranate,1000,15000,8000,pune,pune,,
25-Nov-24,Pomegranate,1000,14000,7500,pune,pune,,
27-Nov-24,Pomegranate,1000,13000,7000,pune,pune,,
14-Apr-24,Pomegranate,1000,16000,8500,pune,pune,,
13-Nov-24,Pomegranate,1000,13000,7000,pune,pune,,
04-Nov-24,Pomegranate,1500,15000,8000,pune,pune,,
28-Oct-24,Pomegranate,1000,15000,8200,pune,pune,,
23-Sep-24,Pomegranate,1000,15000,8000,pune,pune,,
23-Oct-24,Pomegranate,1000,14000,7500,pune,pune,,
14-Nov-24,Pomegranate,2000,13000,7000,pune,pune,,
11-Nov-24,Pomegranate,1500,12000,7000,pune,pune,,
17-Sep-24,Pomegranate,1000,15000,8200,pune,pune,,
06-Nov-24,Pomegranate,1000,16000,8500,pune,pune,,
14-Oct-24,Pomegranate,1000,15000,8000,pune,pune,,
11-Sep-24,Pomegranate,1000,18000,9500,pune,pune,,
17-Dec-24,Pomegranate,1000,17000,9000,pune,pune,,
03-Sep-24,Pomegranate,1000,15000,8000,pune,pune,,
13-Sep-24,Pomegranate,1000,14000,7500,pune,pune,,
16-Oct-24,Pomegranate,1000,15000,8000,pune,pune,,
13-Oct-24,Pomegranate,1000,15000,8000,pune,pune,,
05-Nov-24,Pomegranate,1000,15000,8000,pune,pune,,
26-Nov-24,Pomegranate,1500,12000,6500,pune,pune,,
07-Nov-24,Pomegranate,1000,15000,8200,pune,pune,,
26-Sep-24,Pomegranate,2000,12000,6500,pune,pune,,
25-Sep-24,Pomegranate,1000,15000,8500,pune,pune,,
08-Sep-24,Pomegranate,1000,17000,9000,pune,pune,,
08-Nov-24,Pomegranate,1500,13000,7000,pune,pune,,
02-Sep-24,Pomegranate,1000,20000,10700,pune,pune,,
02-Oct-24,Pomegranate,1000,15000,8000,pune,pune,,
12-Nov-24,Pomegranate,1000,12000,6500,pune,pune,,
18-Nov-24,Pomegranate,1000,13000,7000,pune,pune,,
27-Oct-24,Pomegranate,2000,15000,8000,pune,pune,,
30-Sep-24,Pomegranate,1000,15000,8500,pune,pune,,
24-Nov-24,Pomegranate,1500,13000,7000,pune,pune,,
27-Sep-24,Pomegranate,1000,15000,8200,pune,pune,,
04-Oct-24,Pomegranate,1000,10000,5500,pune,pune,,
20-Sep-24,Pomegranate,1500,15000,8000,pune,pune,,
21-Oct-24,Pomegranate,1000,15000,8200,pune,pune,,
01-Oct-24,Pomegranate,2000,14000,7500,pune,pune,,
07-Oct-24,Pomegranate,1500,15000,8500,pune,pune,,
24-Sep-24,Pomegranate,1000,15000,8200,pune,pune,,
01-Nov-24,Pomegranate,2000,12000,6500,pune,pune,,
09-Sep-24,Pomegranate,2000,16000,9000,pune,pune,,
15-Sep-24,Pomegranate,1500,12000,7000,pune,pune,,
10-Sep-24,Pomegranate,1000,17000,9200,pune,pune,,
19-Sep-24,Pomegranate,1000,15000,8000,pune,pune,,
22-Oct-24,Pomegranate,1000,15000,8000,pune,pune,,
19-Nov-24,Pomegranate,1000,13000,7000,pune,pune,,
17-Oct-24,Pomegranate,1000,12500,6700,pune,pune,,
17-Nov-24,Pomegranate,1000,15000,8000,pune,pune,,
30-Oct-24,Pomegranate,1000,13000,7000,pune,pune,,
29-Oct-24,Pomegranate,1000,12000,6500,pune,pune,,
18-Oct-24,Pomegranate,1000,12500,6700,pune,pune,,
10-Nov-24,Pomegranate,1000,14000,7500,pune,pune,,
15-Oct-24,Pomegranate,1000,15000,8000,pune,pune,,
31-Oct-24,Pomegranate,1000,14000,7500,pune,pune,,
22-Sep-24,Pomegranate,1000,15000,8000,pune,pune,,
05-Sep-24,Pomegranate,1000,15000,8000,pune,pune,,
20-Oct-24,Pomegranate,1000,10000,5500,pune,pune,,
06-Oct-24,Pomegranate,1000,14000,7500,pune,pune,,
04-Sep-24,Pomegranate,1000,16000,8500,pune,pune,,
29-Sep-24,Pomegranate,1200,10000,5500,pune,pune,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
